309777765.jpg|0|Гурван залуу нийтийн тээвэрт сууж байна
624072749.jpg|0|Дүрэмт хувцас өмссөн гурван залуу том гадаргуу дээр хоол бэлтгэж байна.
5016926064.jpg|0|Хэн нэгэн ил гал дээр хоол хийж байна
2679382862.jpg|0|Том телескоп зам дээр байна
2205915732.jpg|0|Том телескоп зам дээр байна
1402843760.jpg|0|Том телескоп зам дээр байна
897621891.jpg|0|Том телескоп зам дээр байна
2896180326.jpg|0|Том телескоп зам дээр байна
344536009.jpg|0|Том телескоп зам дээр байна
3007214949.jpg|0|Том телескоп зам дээр байна
4879085576.jpg|0|Том телескоп зам дээр байна
358779007.jpg|0|Том телескоп зам дээр байна
129321675.jpg|0|Том телескоп зам дээр байна
5306262761.jpg|0|Том телескоп зам дээр байна
3479423813.jpg|0|Том телескоп зам дээр байна
2823103057.jpg|0|Том телескоп зам дээр байна
6074238868.jpg|0|Том телескоп зам дээр байна
3098714492.jpg|0|Том телескоп зам дээр байна
